Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,094029,1882,01,31.8,Y
IDCJAC0001,094029,1882,02,32.3,Y
IDCJAC0001,094029,1882,03,15.2,Y
IDCJAC0001,094029,1882,04,22.9,Y
IDCJAC0001,094029,1882,05,150.1,Y
IDCJAC0001,094029,1882,06,61.5,Y
IDCJAC0001,094029,1882,07,54.4,Y
IDCJAC0001,094029,1882,08,122.4,Y
IDCJAC0001,094029,1882,09,74.4,Y
IDCJAC0001,094029,1882,10,96.3,Y
IDCJAC0001,094029,1882,11,52.1,Y
IDCJAC0001,094029,1882,12,66.3,Y
IDCJAC0001,094029,1883,01,91.4,Y
IDCJAC0001,094029,1883,02,52.8,Y
IDCJAC0001,094029,1883,03,91.9,Y
IDCJAC0001,094029,1883,04,12.2,Y
IDCJAC0001,094029,1883,05,43.2,Y
IDCJAC0001,094029,1883,06,40.9,Y
IDCJAC0001,094029,1883,07,31.2,Y
IDCJAC0001,094029,1883,08,46.2,Y
IDCJAC0001,094029,1883,09,50.5,Y
IDCJAC0001,094029,1883,10,67.3,Y
IDCJAC0001,094029,1883,11,58.4,Y
IDCJAC0001,094029,1883,12,24.6,Y
IDCJAC0001,094029,1884,01,88.9,Y
IDCJAC0001,094029,1884,02,27.2,Y
IDCJAC0001,094029,1884,03,9.1,Y
IDCJAC0001,094029,1884,04,7.4,Y
IDCJAC0001,094029,1884,05,44.7,Y
IDCJAC0001,094029,1884,06,35.6,Y
IDCJAC0001,094029,1884,07,17.3,Y
IDCJAC0001,094029,1884,08,86.4,Y
IDCJAC0001,094029,1884,09,67.8,Y
IDCJAC0001,094029,1884,10,35.6,Y
IDCJAC0001,094029,1884,11,27.7,Y
IDCJAC0001,094029,1884,12,99.8,Y
IDCJAC0001,094029,1885,01,61.0,Y
IDCJAC0001,094029,1885,02,50.0,Y
IDCJAC0001,094029,1885,03,89.2,Y
IDCJAC0001,094029,1885,04,19.8,Y
IDCJAC0001,094029,1885,05,22.6,Y
IDCJAC0001,094029,1885,06,44.7,Y
IDCJAC0001,094029,1885,07,23.6,Y
IDCJAC0001,094029,1885,08,34.0,Y
IDCJAC0001,094029,1885,09,104.6,Y
IDCJAC0001,094029,1885,10,36.3,Y
IDCJAC0001,094029,1885,11,187.7,Y
IDCJAC0001,094029,1885,12,45.0,Y
IDCJAC0001,094029,1886,01,70.1,Y
IDCJAC0001,094029,1886,02,58.9,Y
IDCJAC0001,094029,1886,03,34.8,Y
IDCJAC0001,094029,1886,04,60.7,Y
IDCJAC0001,094029,1886,05,52.3,Y
IDCJAC0001,094029,1886,06,7.1,Y
IDCJAC0001,094029,1886,07,21.6,Y
IDCJAC0001,094029,1886,08,64.3,Y
IDCJAC0001,094029,1886,09,36.6,Y
IDCJAC0001,094029,1886,10,44.7,Y
IDCJAC0001,094029,1886,11,73.2,Y
IDCJAC0001,094029,1886,12,19.1,Y
IDCJAC0001,094029,1887,01,87.1,Y
IDCJAC0001,094029,1887,02,19.8,Y
IDCJAC0001,094029,1887,03,65.3,Y
IDCJAC0001,094029,1887,04,19.6,Y
IDCJAC0001,094029,1887,05,45.2,Y
IDCJAC0001,094029,1887,06,58.7,Y
IDCJAC0001,094029,1887,07,92.7,Y
IDCJAC0001,094029,1887,08,14.7,Y
IDCJAC0001,094029,1887,09,79.5,Y
IDCJAC0001,094029,1887,10,47.0,Y
IDCJAC0001,094029,1887,11,46.5,Y
IDCJAC0001,094029,1887,12,38.9,Y
IDCJAC0001,094029,1888,01,33.5,Y
IDCJAC0001,094029,1888,02,5.1,Y
IDCJAC0001,094029,1888,03,26.2,Y
IDCJAC0001,094029,1888,04,16.0,Y
IDCJAC0001,094029,1888,05,31.8,Y
IDCJAC0001,094029,1888,06,77.5,Y
IDCJAC0001,094029,1888,07,42.2,Y
IDCJAC0001,094029,1888,08,44.5,Y
IDCJAC0001,094029,1888,09,58.2,Y
IDCJAC0001,094029,1888,10,40.4,Y
IDCJAC0001,094029,1888,11,56.6,Y
IDCJAC0001,094029,1888,12,36.8,Y
IDCJAC0001,094029,1889,01,59.9,Y
IDCJAC0001,094029,1889,02,39.9,Y
IDCJAC0001,094029,1889,03,18.3,Y
IDCJAC0001,094029,1889,04,70.6,Y
IDCJAC0001,094029,1889,05,24.4,Y
IDCJAC0001,094029,1889,06,207.0,Y
IDCJAC0001,094029,1889,07,50.5,Y
IDCJAC0001,094029,1889,08,24.4,Y
IDCJAC0001,094029,1889,09,28.7,Y
IDCJAC0001,094029,1889,10,65.5,Y
IDCJAC0001,094029,1889,11,104.4,Y
IDCJAC0001,094029,1889,12,88.6,Y
IDCJAC0001,094029,1890,01,18.8,Y
IDCJAC0001,094029,1890,02,61.7,Y
IDCJAC0001,094029,1890,03,65.0,Y
IDCJAC0001,094029,1890,04,38.6,Y
IDCJAC0001,094029,1890,05,27.7,Y
IDCJAC0001,094029,1890,06,136.4,Y
IDCJAC0001,094029,1890,07,67.8,Y
IDCJAC0001,094029,1890,08,91.2,Y
IDCJAC0001,094029,1890,09,37.6,Y
IDCJAC0001,094029,1890,10,66.8,Y
IDCJAC0001,094029,1890,11,48.8,Y
IDCJAC0001,094029,1890,12,38.4,Y
IDCJAC0001,094029,1891,01,89.7,Y
IDCJAC0001,094029,1891,02,19.1,Y
IDCJAC0001,094029,1891,03,24.4,Y
IDCJAC0001,094029,1891,04,32.5,Y
IDCJAC0001,094029,1891,05,51.8,Y
IDCJAC0001,094029,1891,06,36.1,Y
IDCJAC0001,094029,1891,07,66.3,Y
IDCJAC0001,094029,1891,08,37.6,Y
IDCJAC0001,094029,1891,09,10.2,Y
IDCJAC0001,094029,1891,10,71.1,Y
IDCJAC0001,094029,1891,11,49.3,Y
IDCJAC0001,094029,1891,12,102.6,Y
IDCJAC0001,094029,1892,01,39.9,Y
IDCJAC0001,094029,1892,02,6.4,Y
IDCJAC0001,094029,1892,03,34.5,Y
IDCJAC0001,094029,1892,04,55.6,Y
IDCJAC0001,094029,1892,05,85.3,Y
IDCJAC0001,094029,1892,06,47.5,Y
IDCJAC0001,094029,1892,07,52.1,Y
IDCJAC0001,094029,1892,08,7.6,Y
IDCJAC0001,094029,1892,09,38.9,Y
IDCJAC0001,094029,1892,10,29.7,Y
IDCJAC0001,094029,1892,11,38.1,Y
IDCJAC0001,094029,1892,12,37.3,Y
IDCJAC0001,094029,1893,01,150.1,Y
IDCJAC0001,094029,1893,02,5.1,Y
IDCJAC0001,094029,1893,03,21.8,Y
IDCJAC0001,094029,1893,04,81.3,Y
IDCJAC0001,094029,1893,05,89.7,Y
IDCJAC0001,094029,1893,06,74.3,Y
IDCJAC0001,094029,1893,07,110.4,Y
IDCJAC0001,094029,1893,08,39.5,Y
IDCJAC0001,094029,1893,09,41.2,Y
IDCJAC0001,094029,1893,10,24.1,Y
IDCJAC0001,094029,1893,11,35.5,Y
IDCJAC0001,094029,1893,12,67.6,Y
IDCJAC0001,094029,1894,01,57.4,Y
IDCJAC0001,094029,1894,02,15.8,Y
IDCJAC0001,094029,1894,03,40.7,Y
IDCJAC0001,094029,1894,04,47.6,Y
IDCJAC0001,094029,1894,05,68.4,Y
IDCJAC0001,094029,1894,06,34.4,Y
IDCJAC0001,094029,1894,07,98.2,Y
IDCJAC0001,094029,1894,08,120.0,Y
IDCJAC0001,094029,1894,09,27.7,Y
IDCJAC0001,094029,1894,10,51.7,Y
IDCJAC0001,094029,1894,11,61.5,Y
IDCJAC0001,094029,1894,12,73.2,Y
IDCJAC0001,094029,1895,01,8.9,Y
IDCJAC0001,094029,1895,02,15.6,Y
IDCJAC0001,094029,1895,03,72.6,Y
IDCJAC0001,094029,1895,04,46.9,Y
IDCJAC0001,094029,1895,05,21.5,Y
IDCJAC0001,094029,1895,06,36.8,Y
IDCJAC0001,094029,1895,07,68.0,Y
IDCJAC0001,094029,1895,08,57.6,Y
IDCJAC0001,094029,1895,09,112.4,Y
IDCJAC0001,094029,1895,10,88.1,Y
IDCJAC0001,094029,1895,11,37.2,Y
IDCJAC0001,094029,1895,12,83.0,Y
IDCJAC0001,094029,1896,01,36.4,Y
IDCJAC0001,094029,1896,02,40.8,Y
